plan,variant,kBits,N,hit_rate,codes_ms,hist_ms,scan_ms,scatter_ms,count_ms,reduce_ms,write_ms,compact_ms,kernel_ms,e2e_ms,total
Naive,atomic,8,1000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260672,3.532992,49999
Baseline,thrust,8,1000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.929920,2.972960,49999
PlanB,atomic,8,1000000,0.050000,0.143712,0.000000,0.000000,0.000000,0.036864,0.000000,0.039936,0.000000,0.475264,2.396576,49999
PlanA,shared,8,1000000,0.050000,0.052224,0.297984,0.067584,0.444192,0.000000,0.000000,0.000000,20.536928,21.951777,24.394688,49999
PlanA,warp,8,1000000,0.050000,0.021472,0.288768,0.065536,0.427008,0.000000,0.000000,0.000000,22.471296,23.909504,26.330240,49999
PlanA,bitmask,8,1000000,0.050000,0.070656,0.292864,0.067584,0.422912,0.000000,0.000000,0.000000,16.746113,18.180672,20.607489,49999
Naive,atomic,8,1000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.886560,9.313440,499999
Baseline,thrust,8,1000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.957568,6.281472,499999
PlanB,atomic,8,1000000,0.500000,0.331136,0.000000,0.000000,0.000000,0.191488,0.000000,0.282624,0.000000,1.056928,4.114752,499999
PlanA,shared,8,1000000,0.500000,0.020480,0.288768,0.081088,0.422912,0.000000,0.000000,0.000000,19.992416,21.412767,25.167711,499999
PlanA,warp,8,1000000,0.500000,0.021504,0.363520,0.181248,0.416768,0.000000,0.000000,0.000000,26.783487,28.929953,33.260448,499999
PlanA,bitmask,8,1000000,0.500000,0.067584,0.361472,0.113664,0.487424,0.000000,0.000000,0.000000,23.722113,25.759199,30.033953,499999
Naive,atomic,8,1000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.187072,21.186913,949999
Baseline,thrust,8,1000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.216128,9.112352,949999
PlanB,atomic,8,1000000,0.950000,0.113088,0.000000,0.000000,0.000000,0.351232,0.000000,0.633856,0.000000,1.316224,5.552512,949999
PlanA,shared,8,1000000,0.950000,0.029696,0.358400,0.125952,0.488448,0.000000,0.000000,0.000000,23.342976,25.576096,30.871552,949999
PlanA,warp,8,1000000,0.950000,0.118784,0.362496,0.080000,0.480256,0.000000,0.000000,0.000000,18.624063,20.433344,25.935936,949999
PlanA,bitmask,8,1000000,0.950000,0.028672,0.361472,0.090112,0.490496,0.000000,0.000000,0.000000,17.857216,19.572351,24.494400,949999
Naive,atomic,8,5000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.597408,10.817664,249999
Baseline,thrust,8,5000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.421792,11.716640,249999
PlanB,atomic,8,5000000,0.050000,0.524864,0.000000,0.000000,0.000000,0.456704,0.000000,0.464896,0.000000,1.657216,11.239168,249999
PlanA,shared,8,5000000,0.050000,0.467968,1.782784,0.188416,4.387840,0.000000,0.000000,0.000000,28.850143,37.229408,47.044128,249999
PlanA,warp,8,5000000,0.050000,0.464896,1.787904,0.182272,4.402176,0.000000,0.000000,0.000000,25.666431,34.506592,44.683487,249999
PlanA,bitmask,8,5000000,0.050000,0.473088,1.214464,0.089248,3.833856,0.000000,0.000000,0.000000,18.382303,25.158016,35.114048,249999
Naive,atomic,8,5000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.776000,53.804832,2499999
Baseline,thrust,8,5000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.692672,40.854271,2499999
PlanB,atomic,8,5000000,0.500000,0.537792,0.000000,0.000000,0.000000,0.721920,0.000000,1.015840,0.000000,2.470720,36.190144,2499999
PlanA,shared,8,5000000,0.500000,0.483328,1.085440,0.081088,3.899136,0.000000,0.000000,0.000000,17.787584,24.390848,59.741600,2499999
PlanA,warp,8,5000000,0.500000,0.586624,1.100800,0.109824,3.917856,0.000000,0.000000,0.000000,22.363585,29.480032,65.582176,2499999
PlanA,bitmask,8,5000000,0.500000,0.737280,1.090560,0.110816,4.508672,0.000000,0.000000,0.000000,24.916960,32.741730,69.517921,2499999
Naive,atomic,8,5000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.182784,80.034653,4749999
Baseline,thrust,8,5000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.564352,70.568703,4749999
PlanB,atomic,8,5000000,0.950000,0.644704,0.000000,0.000000,0.000000,1.070080,0.000000,2.546688,0.000000,4.439136,61.783520,4749999
PlanA,shared,8,5000000,0.950000,0.474112,1.089536,0.099328,3.911680,0.000000,0.000000,0.000000,20.655008,27.768896,86.470428,4749999
PlanA,warp,8,5000000,0.950000,0.483328,1.090560,0.090144,6.708960,0.000000,0.000000,0.000000,22.638111,32.356609,92.580223,4749999
PlanA,bitmask,8,5000000,0.950000,0.475136,1.092608,0.421888,3.834656,0.000000,0.000000,0.000000,18.040928,25.250273,117.359520,4749999
Naive,atomic,8,10000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.894496,19.883648,499999
Baseline,thrust,8,10000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.118016,19.386751,499999
PlanB,atomic,8,10000000,0.050000,1.136128,0.000000,0.000000,0.000000,0.918528,0.000000,0.980992,0.000000,3.251104,21.339424,499999
PlanA,shared,8,10000000,0.050000,0.998400,2.178048,0.088416,7.913408,0.000000,0.000000,0.000000,20.588896,33.654335,52.295296,499999
PlanA,warp,8,10000000,0.050000,0.986112,2.172928,0.085312,9.183232,0.000000,0.000000,0.000000,20.414976,34.739136,53.431873,499999
PlanA,bitmask,8,10000000,0.050000,0.986112,2.197504,0.090144,12.714048,0.000000,0.000000,0.000000,17.848352,35.738400,54.249088,499999
Naive,atomic,8,10000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.813664,93.166527,4999999
Baseline,thrust,8,10000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.425632,79.636353,4999999
PlanB,atomic,8,10000000,0.500000,1.356000,0.000000,0.000000,0.000000,1.619968,0.000000,2.436096,0.000000,6.312832,77.367455,4999999
PlanA,shared,8,10000000,0.500000,0.963584,2.178048,0.130304,8.470528,0.000000,0.000000,0.000000,24.857281,38.679680,114.211136,4999999
PlanA,warp,8,10000000,0.500000,0.969728,2.629632,0.112960,13.607936,0.000000,0.000000,0.000000,20.262527,39.481182,112.576927,4999999
PlanA,bitmask,8,10000000,0.500000,0.957408,2.176000,0.094336,13.198336,0.000000,0.000000,0.000000,18.712959,36.994049,112.558144,4999999
Naive,atomic,8,10000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.322528,155.396835,9499999
Baseline,thrust,8,10000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.765376,146.147842,9499999
PlanB,atomic,8,10000000,0.950000,1.025120,0.000000,0.000000,0.000000,2.142208,0.000000,5.149696,0.000000,8.542720,161.705185,9499999
PlanA,shared,8,10000000,0.950000,1.274880,2.180096,0.094208,8.914944,0.000000,0.000000,0.000000,22.859327,37.051842,155.143997,9499999
PlanA,warp,8,10000000,0.950000,1.184768,2.172928,0.082080,9.922560,0.000000,0.000000,0.000000,24.631584,39.812447,154.297470,9499999
PlanA,bitmask,8,10000000,0.950000,0.966656,2.421760,0.111616,8.538112,0.000000,0.000000,0.000000,17.291264,31.374111,145.398911,9499999
Naive,atomic,8,20000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.357344,40.602303,999998
Baseline,thrust,8,20000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.509024,38.075169,999998
PlanB,atomic,8,20000000,0.050000,3.198144,0.000000,0.000000,0.000000,2.287616,0.000000,1.911808,0.000000,7.659136,42.106144,999998
PlanA,shared,8,20000000,0.050000,1.949760,4.347904,0.092352,16.029505,0.000000,0.000000,0.000000,16.800159,42.436287,78.663231,999998
PlanA,warp,8,20000000,0.050000,1.934080,4.345856,0.084992,21.615616,0.000000,0.000000,0.000000,18.688704,49.791584,84.800034,999998
PlanA,bitmask,8,20000000,0.050000,1.949696,4.339712,0.196608,16.217089,0.000000,0.000000,0.000000,22.758465,48.844158,86.430626,999998
Naive,atomic,8,20000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.441184,198.142822,9999998
Baseline,thrust,8,20000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.893760,175.798523,9999998
PlanB,atomic,8,20000000,0.500000,2.109824,0.000000,0.000000,0.000000,2.859008,0.000000,5.015552,0.000000,10.194752,153.042404,9999998
PlanA,shared,8,20000000,0.500000,2.177024,4.342784,0.091136,20.117504,0.000000,0.000000,0.000000,20.287329,50.271198,196.819138,9999998
PlanA,warp,8,20000000,0.500000,1.968992,4.346880,0.169984,16.024576,0.000000,0.000000,0.000000,24.952225,50.548512,194.234299,9999998
PlanA,bitmask,8,20000000,0.500000,2.066432,4.834304,0.099616,16.022528,0.000000,0.000000,0.000000,19.362368,45.597824,193.881790,9999998
Naive,atomic,8,20000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.407680,317.878815,18999999
Baseline,thrust,8,20000000,0.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.560832,453.983978,18999999
PlanB,atomic,8,20000000,0.950000,5.549824,0.000000,0.000000,0.000000,4.931584,0.000000,10.845184,0.000000,21.680288,261.199768,18999999
PlanA,shared,8,20000000,0.950000,2.684800,5.171200,0.224256,17.541121,0.000000,0.000000,0.000000,33.216095,62.761696,308.744904,18999999
PlanA,warp,8,20000000,0.950000,2.021056,4.346880,0.213056,21.595936,0.000000,0.000000,0.000000,19.850847,51.261856,298.799835,18999999
PlanA,bitmask,8,20000000,0.950000,1.977344,4.347904,0.095264,15.956992,0.000000,0.000000,0.000000,24.317375,49.705280,283.399780,18999999
