plan,variant,kernel,kBits,blockSize,hit_rate,N,ms_kernel,ms_e2e,thrpt_kernel_Meps,thrpt_e2e_Meps,out_count
PlanB,atomic,-,8,64,0.50,20000000,13.025,51.152,1535.550,390.992,9999998
PlanA,partition,shared,8,64,0.50,20000000,60.096,100.898,332.802,198.219,9999998
PlanA,partition,warp,8,64,0.50,20000000,54.604,99.840,366.274,200.321,2504432
PlanA,partition,bitmask,8,64,0.50,20000000,56.464,97.554,354.210,205.015,9999998
PlanB,atomic,-,8,128,0.50,20000000,13.347,51.395,1498.432,389.141,9999998
PlanA,partition,shared,8,128,0.50,20000000,56.592,98.623,353.405,202.792,9999998
PlanA,partition,warp,8,128,0.50,20000000,55.850,95.809,358.104,208.750,5006508
PlanA,partition,bitmask,8,128,0.50,20000000,58.625,98.037,341.154,204.004,9999998
PlanB,atomic,-,8,256,0.50,20000000,12.487,50.993,1601.685,392.214,9999998
PlanA,partition,shared,8,256,0.50,20000000,59.820,100.117,334.334,199.767,9999998
PlanA,partition,warp,8,256,0.50,20000000,57.503,98.998,347.806,202.025,9999998
PlanA,partition,bitmask,8,256,0.50,20000000,57.466,97.661,348.030,204.791,9999998
PlanB,atomic,-,8,384,0.50,20000000,11.845,48.509,1688.538,412.298,9999998
PlanA,partition,shared,8,384,0.50,20000000,53.542,95.352,373.535,209.750,9999998
PlanA,partition,warp,8,384,0.50,20000000,55.486,98.725,360.449,202.584,9999998
PlanA,partition,bitmask,8,384,0.50,20000000,54.240,96.053,368.731,208.219,9999998
PlanB,atomic,-,8,512,0.50,20000000,14.305,53.555,1398.130,373.447,9999998
PlanA,partition,shared,8,512,0.50,20000000,59.737,100.234,334.802,199.534,9999998
PlanA,partition,warp,8,512,0.50,20000000,58.280,99.383,343.169,201.242,9999998
PlanA,partition,bitmask,8,512,0.50,20000000,55.839,97.489,358.172,205.151,9999998
PlanB,atomic,-,8,768,0.50,20000000,15.047,52.020,1329.182,384.465,9999998
PlanA,partition,shared,8,768,0.50,20000000,59.700,98.733,335.009,202.566,9999998
PlanA,partition,warp,8,768,0.50,20000000,59.553,100.877,335.835,198.262,9999998
PlanA,partition,bitmask,8,768,0.50,20000000,56.168,96.878,356.076,206.445,9999998
PlanB,atomic,-,8,1024,0.50,20000000,13.827,51.630,1446.451,387.374,9999998
PlanA,partition,shared,8,1024,0.50,20000000,60.236,99.852,332.028,200.296,9999998
PlanA,partition,warp,8,1024,0.50,20000000,57.040,97.711,350.632,204.685,9999998
PlanA,partition,bitmask,8,1024,0.50,20000000,57.042,98.155,350.617,203.759,9999998
