plan,variant,kernel,kBits,blockSize,hit_rate,N,ms_kernel,ms_e2e,thrpt_kernel_Meps,thrpt_e2e_Meps,out_count
PlanB,atomic,-,8,256,0.05,20000000,6.309,44.874,3169.918,445.688,999998
PlanA,partition,shared,8,256,0.05,20000000,58.334,98.116,342.851,203.841,999998
PlanA,partition,warp,8,256,0.05,20000000,60.554,99.404,330.281,201.199,999998
PlanA,partition,bitmask,8,256,0.05,20000000,59.833,100.539,334.265,198.927,999998
PlanB,atomic,-,8,256,0.50,20000000,12.364,49.735,1617.606,402.135,9999998
PlanA,partition,shared,8,256,0.50,20000000,58.283,98.872,343.152,202.282,9999998
PlanA,partition,warp,8,256,0.50,20000000,59.075,101.335,338.555,197.365,9999998
PlanA,partition,bitmask,8,256,0.50,20000000,59.206,101.052,337.802,197.918,9999998
PlanB,atomic,-,8,256,0.95,20000000,22.005,61.426,908.879,325.597,18999999
PlanA,partition,shared,8,256,0.95,20000000,59.982,98.968,333.432,202.086,18999999
PlanA,partition,warp,8,256,0.95,20000000,56.972,98.776,351.050,202.477,18999999
PlanA,partition,bitmask,8,256,0.95,20000000,55.314,96.641,361.571,206.952,18999999
