plan,variant,kernel,kBits,blockSize,hit_rate,N,ms_kernel,ms_e2e,thrpt_kernel_Meps,thrpt_e2e_Meps,out_count
PlanB,atomic,-,6,256,0.50,20000000,20.513,59.802,974.971,334.439,9999998
PlanA,partition,shared,6,256,0.50,20000000,46.673,87.405,428.510,228.819,9999998
PlanA,partition,warp,6,256,0.50,20000000,39.432,79.568,507.196,251.356,9999998
PlanA,partition,bitmask,6,256,0.50,20000000,43.448,83.680,460.316,239.005,9999998
PlanB,atomic,-,7,256,0.50,20000000,11.259,49.701,1776.419,402.407,9999998
PlanA,partition,shared,7,256,0.50,20000000,49.957,90.510,400.343,220.969,9999998
PlanA,partition,warp,7,256,0.50,20000000,43.032,84.467,464.768,236.778,9999998
PlanA,partition,bitmask,7,256,0.50,20000000,45.597,86.087,438.622,232.324,9999998
PlanB,atomic,-,8,256,0.50,20000000,11.929,49.698,1676.522,402.433,9999998
PlanA,partition,shared,8,256,0.50,20000000,55.174,95.989,362.490,208.358,9999998
PlanA,partition,warp,8,256,0.50,20000000,59.665,99.750,335.207,200.501,9999998
PlanA,partition,bitmask,8,256,0.50,20000000,60.163,100.019,332.431,199.963,9999998
PlanB,atomic,-,9,256,0.50,20000000,13.037,49.982,1534.086,400.140,9999998
PlanA,partition,shared,9,256,0.50,20000000,79.408,119.275,251.863,167.680,9999998
PlanA,partition,warp,9,256,0.50,20000000,78.291,121.239,255.458,164.964,9999998
PlanA,partition,bitmask,9,256,0.50,20000000,78.951,121.019,253.322,165.263,9999998
PlanB,atomic,-,10,256,0.50,20000000,11.643,50.997,1717.741,392.183,9999998
PlanA,partition,shared,10,256,0.50,20000000,124.678,166.416,160.413,120.181,9999998
PlanA,partition,warp,10,256,0.50,20000000,125.583,165.385,159.257,120.930,9999998
PlanA,partition,bitmask,10,256,0.50,20000000,122.545,163.273,163.206,122.494,9999998
