plan,variant,kBits,blockSize,N,hit_rate,repeat,seed,dist,kernel_ms,e2e_ms,kernel_Melps,e2e_Melps,bytes_est,achieved_BW_GBps,roofline
PlanB,planB,8,256,1000000,0.50,5,1234,uniform,1.5691,3.8527,637.312892,259.560121,30000000,19.119,proxy_v1
PlanB,planB,8,256,5000000,0.50,5,1234,uniform,7.9534,18.6405,628.663852,268.232790,150000000,18.860,proxy_v1
PlanB,planB,8,256,10000000,0.50,5,1234,uniform,10.1058,30.2269,989.528415,330.831017,300000000,29.686,proxy_v1
PlanB,planB,8,256,20000000,0.50,5,1234,uniform,18.5278,58.9578,1079.456642,339.225541,600000000,32.384,proxy_v1
PlanB,planB,8,256,50000000,0.50,5,1234,uniform,41.8956,136.7109,1193.443918,365.735242,1500000000,35.803,proxy_v1
PlanA,planA_shared,8,256,1000000,0.50,5,1234,uniform,2.8526,5.8130,350.557187,172.029587,78000000,27.343,proxy_v1
PlanA,planA_shared,8,256,5000000,0.50,5,1234,uniform,10.4230,21.6860,479.709147,230.563805,390000000,37.417,proxy_v1
PlanA,planA_shared,8,256,10000000,0.50,5,1234,uniform,20.1160,41.2123,497.116568,242.645925,780000000,38.775,proxy_v1
PlanA,planA_shared,8,256,20000000,0.50,5,1234,uniform,40.6672,81.0451,491.797220,246.776135,1560000000,38.360,proxy_v1
PlanA,planA_shared,8,256,50000000,0.50,5,1234,uniform,91.8119,188.7192,544.591957,264.943863,3900000000,42.478,proxy_v1
PlanA,planA_warp,8,256,1000000,0.50,5,1234,uniform,2.2940,4.7471,435.922830,210.654462,78000000,34.002,proxy_v1
PlanA,planA_warp,8,256,5000000,0.50,5,1234,uniform,10.4879,21.8879,476.739967,228.436675,390000000,37.186,proxy_v1
PlanA,planA_warp,8,256,10000000,0.50,5,1234,uniform,20.7574,42.7416,481.755122,233.964209,780000000,37.577,proxy_v1
PlanA,planA_warp,8,256,20000000,0.50,5,1234,uniform,38.4896,79.0149,519.621055,253.116675,1560000000,40.530,proxy_v1
PlanA,planA_warp,8,256,50000000,0.50,5,1234,uniform,92.1858,188.3098,542.382846,265.519957,3900000000,42.306,proxy_v1
PlanA,planA_bitmask,8,256,1000000,0.50,5,1234,uniform,2.2623,4.7396,442.024752,210.986987,78000000,34.478,proxy_v1
PlanA,planA_bitmask,8,256,5000000,0.50,5,1234,uniform,9.0831,21.0943,550.471057,237.030813,390000000,42.937,proxy_v1
PlanA,planA_bitmask,8,256,10000000,0.50,5,1234,uniform,19.1449,39.4531,522.331201,253.465587,780000000,40.742,proxy_v1
PlanA,planA_bitmask,8,256,20000000,0.50,5,1234,uniform,37.0583,77.8097,539.689553,257.037311,1560000000,42.096,proxy_v1
PlanA,planA_bitmask,8,256,50000000,0.50,5,1234,uniform,91.6229,193.8629,545.715097,257.914175,3900000000,42.566,proxy_v1
