impl,dist,kBits,N,hit_rate,codes_ms,offsets_ms,scatter_ms,agg_ms,e2e_ms,count_sum,avg_temp,max_temp
atomic,uniform,8,8000000,0.50,38.7010,0.0000,0.0000,6.8229,45.5239,3999999,33.747990,39.999996
slices,uniform,8,8000000,0.50,1.2298,140.5096,9.9983,0.0113,151.7489,20,33.290916,38.798676
atomic,uniform,8,8000000,0.50,1.0460,0.0000,0.0000,2.4340,3.4800,3999999,33.747991,39.999996
slices,uniform,8,8000000,0.50,0.9258,126.4974,4.8906,0.0082,132.3220,25,33.508511,39.653801
atomic,uniform,8,8000000,0.50,1.4252,0.0000,0.0000,1.4326,2.8577,3999999,33.747990,39.999996
slices,uniform,8,8000000,0.50,2.3783,131.3629,7.9676,0.0113,141.7202,22,34.123657,39.578590
atomic,uniform,8,8000000,0.50,1.5788,0.0000,0.0000,1.3937,2.9724,3999999,33.747991,39.999996
slices,uniform,8,8000000,0.50,0.9456,128.5557,4.5505,0.0113,134.0631,21,34.421484,39.563721
atomic,uniform,8,8000000,0.50,0.9262,0.0000,0.0000,1.4193,2.3455,3999999,33.747991,39.999996
slices,uniform,8,8000000,0.50,0.9432,128.3293,4.5486,0.0113,133.8324,17,33.484020,39.653801
atomic,clustered,8,8000000,0.50,34.1305,0.0000,0.0000,2.7392,36.8697,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,1.2696,130.8275,6.7983,0.0604,138.9559,78,34.275466,39.901146
atomic,clustered,8,8000000,0.50,0.9731,0.0000,0.0000,1.7439,2.7170,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,1.7877,133.5110,8.6139,0.0276,143.9402,82,34.009385,39.901146
atomic,clustered,8,8000000,0.50,0.9302,0.0000,0.0000,1.4940,2.4242,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,0.8933,130.6817,7.1506,0.0092,138.7349,81,33.799782,39.901146
atomic,clustered,8,8000000,0.50,1.7624,0.0000,0.0000,1.5155,3.2779,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,0.9507,130.2655,4.8794,0.0082,136.1037,79,34.431430,39.901146
atomic,clustered,8,8000000,0.50,0.9688,0.0000,0.0000,1.4971,2.4659,3999999,33.751415,39.999992
slices,clustered,8,8000000,0.50,0.8530,136.6648,4.8732,0.0225,142.4136,81,34.322090,39.901146
atomic,skewed,8,8000000,0.50,38.4007,0.0000,0.0000,1.6271,40.0278,3999999,33.747990,39.999996
slices,skewed,8,8000000,0.50,1.2071,145.6659,5.6064,0.0184,152.4979,143,33.845909,39.944839
atomic,skewed,8,8000000,0.50,1.5849,0.0000,0.0000,1.6292,3.2141,3999999,33.747989,39.999996
slices,skewed,8,8000000,0.50,1.0149,129.1962,4.3356,0.0256,134.5723,142,33.972957,39.944839
atomic,skewed,8,8000000,0.50,1.7312,0.0000,0.0000,1.6640,3.3952,3999999,33.747989,39.999996
slices,skewed,8,8000000,0.50,0.8834,128.4600,4.3336,0.0358,133.7128,144,34.017831,39.944839
atomic,skewed,8,8000000,0.50,0.9296,0.0000,0.0000,1.5892,2.5188,3999999,33.747990,39.999996
slices,skewed,8,8000000,0.50,0.9779,127.1366,4.3344,0.0061,132.4550,144,33.722932,39.944839
atomic,skewed,8,8000000,0.50,0.8772,0.0000,0.0000,1.5923,2.4695,3999999,33.747989,39.999996
slices,skewed,8,8000000,0.50,0.9587,128.3240,6.1460,0.0113,135.4400,140,33.890619,39.944839
