impl,dist,kBits,N,hit_rate,codes_ms,offsets_ms,scatter_ms,agg_ms,e2e_ms,count_sum,avg_temp,max_temp
atomic,clustered,8,8000000,0.50,34.1305,0.0000,0.0000,2.7392,36.8697,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,1.2696,130.8275,6.7983,0.0604,138.9559,78,34.275466,39.901146
atomic,clustered,8,8000000,0.50,0.9731,0.0000,0.0000,1.7439,2.7170,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,1.7877,133.5110,8.6139,0.0276,143.9402,82,34.009385,39.901146
atomic,clustered,8,8000000,0.50,0.9302,0.0000,0.0000,1.4940,2.4242,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,0.8933,130.6817,7.1506,0.0092,138.7349,81,33.799782,39.901146
atomic,clustered,8,8000000,0.50,1.7624,0.0000,0.0000,1.5155,3.2779,3999999,33.751414,39.999992
slices,clustered,8,8000000,0.50,0.9507,130.2655,4.8794,0.0082,136.1037,79,34.431430,39.901146
atomic,clustered,8,8000000,0.50,0.9688,0.0000,0.0000,1.4971,2.4659,3999999,33.751415,39.999992
slices,clustered,8,8000000,0.50,0.8530,136.6648,4.8732,0.0225,142.4136,81,34.322090,39.901146
