impl,dist,kBits,N,hit_rate,codes_ms,offsets_ms,scatter_ms,agg_ms,e2e_ms,count_sum,avg_temp,max_temp
atomic,skewed,8,8000000,0.50,38.4007,0.0000,0.0000,1.6271,40.0278,3999999,33.747990,39.999996
slices,skewed,8,8000000,0.50,1.2071,145.6659,5.6064,0.0184,152.4979,143,33.845909,39.944839
atomic,skewed,8,8000000,0.50,1.5849,0.0000,0.0000,1.6292,3.2141,3999999,33.747989,39.999996
slices,skewed,8,8000000,0.50,1.0149,129.1962,4.3356,0.0256,134.5723,142,33.972957,39.944839
atomic,skewed,8,8000000,0.50,1.7312,0.0000,0.0000,1.6640,3.3952,3999999,33.747989,39.999996
slices,skewed,8,8000000,0.50,0.8834,128.4600,4.3336,0.0358,133.7128,144,34.017831,39.944839
atomic,skewed,8,8000000,0.50,0.9296,0.0000,0.0000,1.5892,2.5188,3999999,33.747990,39.999996
slices,skewed,8,8000000,0.50,0.9779,127.1366,4.3344,0.0061,132.4550,144,33.722932,39.944839
atomic,skewed,8,8000000,0.50,0.8772,0.0000,0.0000,1.5923,2.4695,3999999,33.747989,39.999996
slices,skewed,8,8000000,0.50,0.9587,128.3240,6.1460,0.0113,135.4400,140,33.890619,39.944839
