impl,dist,kBits,N,hit_rate,codes_ms,offsets_ms,scatter_ms,agg_ms,e2e_ms,count_sum,avg_temp,max_temp
atomic,uniform,8,8000000,0.50,38.7010,0.0000,0.0000,6.8229,45.5239,3999999,33.747990,39.999996
slices,uniform,8,8000000,0.50,1.2298,140.5096,9.9983,0.0113,151.7489,20,33.290916,38.798676
atomic,uniform,8,8000000,0.50,1.0460,0.0000,0.0000,2.4340,3.4800,3999999,33.747991,39.999996
slices,uniform,8,8000000,0.50,0.9258,126.4974,4.8906,0.0082,132.3220,25,33.508511,39.653801
atomic,uniform,8,8000000,0.50,1.4252,0.0000,0.0000,1.4326,2.8577,3999999,33.747990,39.999996
slices,uniform,8,8000000,0.50,2.3783,131.3629,7.9676,0.0113,141.7202,22,34.123657,39.578590
atomic,uniform,8,8000000,0.50,1.5788,0.0000,0.0000,1.3937,2.9724,3999999,33.747991,39.999996
slices,uniform,8,8000000,0.50,0.9456,128.5557,4.5505,0.0113,134.0631,21,34.421484,39.563721
atomic,uniform,8,8000000,0.50,0.9262,0.0000,0.0000,1.4193,2.3455,3999999,33.747991,39.999996
slices,uniform,8,8000000,0.50,0.9432,128.3293,4.5486,0.0113,133.8324,17,33.484020,39.653801
