facet,label,thr_kernel,thr_e2e
0.05,PlanA-shared,227.3119793842168,150.44636524767873
0.05,PlanA-warp,231.3173572766448,151.99405114394733
0.05,PlanA-bitmask,237.1697562796701,154.89214941877788
0.05,PlanB-atomic,2113.8470398365466,451.72521647306917
0.5,PlanA-shared,247.2045948642456,161.17839506065994
0.5,PlanA-warp,255.8609548446147,163.35511836851438
0.5,PlanA-bitmask,254.57123470289127,163.88344609552104
0.5,PlanB-atomic,1691.1314759136883,433.5666055319841
0.95,PlanA-shared,258.66083504551426,164.95027717894993
0.95,PlanA-warp,250.99835358756596,163.34132752344286
0.95,PlanA-bitmask,253.89098475923686,164.3085933342425
0.95,PlanB-atomic,998.6027214782512,372.0082230859421
